_id,id,nickname,battles_in_0,dmg_in_0,winrate_in_0,battles_in_1,dmg_in_1,winrate_in_1,battles_in_4,dmg_in_4,winrate_in_4,battles_in_3,dmg_in_3,winrate_in_3,clantag,is_stats_closed,kills_in_0,spotting_in_0,kills_in_1,spotting_in_1,kills_in_3,spotting_in_3
5fa7ff2f805c92047577ede2,576596232,ZerX_1,233,828.89,48.1,60,4088.9,88.3,0,0,0,2,5815,50,FlRE,false,0.48,294.77682403433477,5.18,1754.8,1.5,0
5fa7ff2f805c92047577ede5,622804222,ЕдуиВолосыНазад,126,400.93,46,196,2422.39,84.7,0,0,0,17,4682.23,35.3,FlRE,false,0.28,328.3492063492063,3.53,1484.5408163265306,3.65,1460
5fa7ff2f805c92047577ede6,514439011,КОЗОДОЕВ,2976,924.39,48.4,941,7708.86,70.4,0,0,0,67,5834.16,40.3,FlRE,false,0.46,358.93245967741933,5.87,1577.4367693942613,2.16,1461.4925373134329
5fa7ff2f805c92047577ede8,578388748,benol,488,372.57,44.3,1879,8022.5,84,0,0,0,0,0,0,FlRE,false,0.13,350.5922131147541,4.44,4707.565194252262,0,0
5fa7ff2f805c92047577edea,470371173,EternalHate,864,1654.56,55,1849,10142.63,86.9,0,0,0,0,0,0,FlRE,false,1.12,446.400462962963,6.35,3918.217414818821,0,0
5fa7ff2f805c92047577edeb,495670880,sbxVolfram,99,457.72,43.4,1067,5652.32,77,0,0,0,17,4331.58,47.1,FlRE,false,0.15,263.1010101010101,3.98,4556.651358950328,1.35,3035.5882352941176
5fa7ff2f805c92047577edec,579571161,LODGAR,4175,1568.5,49.4,249,10221.09,78.7,0,0,0,0,0,0,FlRE,false,0.56,410.71473053892214,5.9,3596.3373493975905,0,0
5fa7ff2f805c92047577eded,464406418,stasik_22_rus,1058,1861.51,52.7,90,7163.04,84.4,0,0,0,3,8309.33,33.3,FlRE,false,0.91,451.36672967863893,7.23,1940.9555555555555,4,2083
5fa7ff2f805c92047577edee,624197787,pumba39,489,971.23,49.5,36,3197.61,80.6,0,0,0,0,0,0,FlRE,false,0.68,242.78527607361963,6.67,925.4444444444445,0,0
5fa7ff2f805c92047577edef,627140571,Dubac,345,1083.15,48.4,2,2663,100,0,0,0,0,0,0,FlRE,false,0.73,414.6463768115942,6,562,0,0
5fa7ff2f805c92047577edf1,594361409,rammstein86,709,341.29,47.5,1283,5428.61,77.3,0,0,0,0,0,0,FlRE,false,0.27,190.3018335684062,3.24,3701.295401402962,0,0
5fa7ff2f805c92047577edf2,448469657,всемпока,25,641.08,48,2431,8155.58,78.5,0,0,0,2,5632,0,FlRE,false,0.16,743.76,5.67,2470.681612505142,2,3918
5fa7ff2f805c92047577edf3,510707345,Yrec,3032,1066.01,48.4,2802,9391.36,81.5,0,0,0,355,7044.73,50.7,FlRE,false,0.57,401.99736147757255,5.18,2226.627052105639,2.57,2646.4
5fa7ff2f805c92047577edf4,510825413,zuat,51,560.52,47.1,3333,5317.25,84.4,0,0,0,0,0,0,FlRE,false,0.43,486.1764705882353,5.57,2424.157815781578,0,0
5fa7ff2f805c92047577edf5,586408096,Михалыч44,2688,1138.75,49.6,268,5340.08,82.5,0,0,0,0,0,0,FlRE,false,0.64,335.42745535714283,5.47,2689.8246268656717,0,0
5fa7ff2f805c92047577edf6,575211782,Эхнадон,392,824.84,49.7,141,4060.48,87.2,0,0,0,0,0,0,FlRE,false,0.66,275.2244897959184,5.79,1481.8439716312057,0,0
5fa7ff2f805c92047577edf8,619430202,Семагон,55,598.87,50.9,213,3535.51,91.1,0,0,0,0,0,0,FlRE,false,0.51,182.36363636363637,5.85,1399.455399061033,0,0
5fa7ff2f805c92047577edf9,591860495,Lipchanin48Rus,1007,1451.53,51.4,59,5333.52,91.5,0,0,0,0,0,0,FlRE,false,1.17,368.6385302879841,6.25,1858.593220338983,0,0
5fa7ff2f805c92047577edfa,599903064,обама-2,370,573.07,48.4,10,2218.4,100,0,0,0,2,7076.5,50,FlRE,false,0.5,339.34054054054053,4.5,1723.1,3,4116
